ANO;NIVEL;COD_CURSO;NOME_CURSO;CIDADE;PAIS;NOME_PAIS;TOTAL
2003;G;99;Especial de Graduação;Alba;IT;Itália;1
2004;G;99;Especial de Graduação;Alba;IT;Itália;1
2005;G;99;Especial de Graduação;Montevideo;UY;Uruguai;1
2005;G;99;Especial de Graduação;;;;2
2007;G;99;Especial de Graduação;Cochabamba;BO;Bolívia;1
2007;G;99;Especial de Graduação;;;;1
2008;G;99;Especial de Graduação;Buenos Aires;AR;Argentina;1
2008;G;99;Especial de Graduação;Cochabamba;BO;Bolívia;1
2009;G;99;Especial de Graduação;Cochabamba;BO;Bolívia;1
2009;G;99;Especial de Graduação;Santiago;PA;Panamá;1
2010;G;99;Especial de Graduação;Cochabamba;BO;Bolívia;1
2011;G;99;Especial de Graduação;Cochabamba;BO;Bolívia;1
2012;G;99;Especial de Graduação;Angola;AO;Angola;1
2012;G;99;Especial de Graduação;Barcelona;ES;Espanha;1
2012;G;99;Especial de Graduação;Buenos Aires;AR;Argentina;1
2012;G;99;Especial de Graduação;Copenhague;DK;Dinamarca;1
2012;G;99;Especial de Graduação;Guatemala;GT;Guatemala;1
2012;G;99;Especial de Graduação;Londres;RU;Reino Unido;1
2012;G;99;Especial de Graduação;Nara-Ken;JP;Japão;1
2012;G;99;Especial de Graduação;Oslo;NO;Noruega;1
2012;G;99;Especial de Graduação;Pamplona;ES;Espanha;1
2012;G;99;Especial de Graduação;Paris;FR;França;2
2012;G;99;Especial de Graduação;Puerto Montt;CL;Chile;1
2012;G;99;Especial de Graduação;Stavanger;NO;Noruega;1
2012;G;99;Especial de Graduação;Teruel;ES;Espanha;1
2012;G;99;Especial de Graduação;Torino;IT;Itália;1
2012;G;99;Especial de Graduação;Tunja;CO;Colômbia;1
2012;G;99;Especial de Graduação;;;;8
2013;G;99;Especial de Graduação;Alençon;FR;França;1
2013;G;99;Especial de Graduação;Alicante;ES;Espanha;2
2013;G;99;Especial de Graduação;Almería;ES;Espanha;1
2013;G;99;Especial de Graduação;Asuncion;PY;Paraguai;1
2013;G;99;Especial de Graduação;Baeza;ES;Espanha;1
2013;G;99;Especial de Graduação;Bahia Blanca;AR;Argentina;1
2013;G;99;Especial de Graduação;Barcelona;ES;Espanha;2
2013;G;99;Especial de Graduação;Barranquilla;CO;Colômbia;1
2013;G;99;Especial de Graduação;Berlim;DA;Alemanha;1
2013;G;99;Especial de Graduação;Berlin-Wilmersdorf;FR;França;1
2013;G;99;Especial de Graduação;Bogotá;CO;Colômbia;12
2013;G;99;Especial de Graduação;Bordeaux;FR;França;1
2013;G;99;Especial de Graduação;Brondby;DK;Dinamarca;1
2013;G;99;Especial de Graduação;Bucaramanga;CO;Colômbia;2
2013;G;99;Especial de Graduação;Buenos Aires;AR;Argentina;7
2013;G;99;Especial de Graduação;Buxtehude;DA;Alemanha;1
2013;G;99;Especial de Graduação;Caen;FR;França;2
2013;G;99;Especial de Graduação;Cagliari;IT;Itália;1
2013;G;99;Especial de Graduação;Cali;CO;Colômbia;2
2013;G;99;Especial de Graduação;Chajarí;AR;Argentina;1
2013;G;99;Especial de Graduação;Chieri;IT;Itália;1
2013;G;99;Especial de Graduação;Cidade do México;MX;México;4
2013;G;99;Especial de Graduação;Cochabamba;BO;Bolívia;1
2013;G;99;Especial de Graduação;Colombes;FR;França;1
2013;G;99;Especial de Graduação;Concepcion;CL;Chile;1
2013;G;99;Especial de Graduação;Copenhague;DK;Dinamarca;1
2013;G;99;Especial de Graduação;Corrientes;AR;Argentina;2
2013;G;99;Especial de Graduação;Córdoba;AR;Argentina;2
2013;G;99;Especial de Graduação;Córdoba;ES;Espanha;2
2013;G;99;Especial de Graduação;Estocolmo;SE;Suécia;1
2013;G;99;Especial de Graduação;Guadalupe-Zacatecas;MX;México;1
2013;G;99;Especial de Graduação;Guatemala;GT;Guatemala;1
2013;G;99;Especial de Graduação;Guayaquil;EC;Equador;2
2013;G;99;Especial de Graduação;Hermosillo;MX;México;9
2013;G;99;Especial de Graduação;Hondarribia;ES;Espanha;1
2013;G;99;Especial de Graduação;Hong Kong;DK;Dinamarca;1
2013;G;99;Especial de Graduação;Huancayo;PE;Peru;1
2013;G;99;Especial de Graduação;Huánuco;PE;Peru;1
2013;G;99;Especial de Graduação;Ibague;CO;Colômbia;10
2013;G;99;Especial de Graduação;Ivrea;IT;Itália;1
2013;G;99;Especial de Graduação;Leticia;CO;Colômbia;1
2013;G;99;Especial de Graduação;Lima;PE;Peru;3
2013;G;99;Especial de Graduação;Lindlar;DA;Alemanha;1
2013;G;99;Especial de Graduação;Logrono;ES;Espanha;1
2013;G;99;Especial de Graduação;Londres;RU;Reino Unido;1
2013;G;99;Especial de Graduação;Longjumeau;FR;França;1
2013;G;99;Especial de Graduação;Los Angeles;CL;Chile;1
2013;G;99;Especial de Graduação;Madrid;ES;Espanha;6
2013;G;99;Especial de Graduação;Manizales;CO;Colômbia;2
2013;G;99;Especial de Graduação;Mar del Plata;AR;Argentina;2
2013;G;99;Especial de Graduação;Medellin;CO;Colômbia;4
2013;G;99;Especial de Graduação;Mendoza;AR;Argentina;2
2013;G;99;Especial de Graduação;Milão;IT;Itália;1
2013;G;99;Especial de Graduação;Minatitlán Veracruz;MX;México;1
2013;G;99;Especial de Graduação;Minden;DA;Alemanha;1
2013;G;99;Especial de Graduação;Montevideo;UY;Uruguai;3
2013;G;99;Especial de Graduação;Montpellier;FR;França;1
2013;G;99;Especial de Graduação;Munique;DA;Alemanha;1
2013;G;99;Especial de Graduação;Nara-Ken;JP;Japão;1
2013;G;99;Especial de Graduação;Neiva;CO;Colômbia;1
2013;G;99;Especial de Graduação;Neuquén;AR;Argentina;1
2013;G;99;Especial de Graduação;Nogales;MX;México;1
2013;G;99;Especial de Graduação;Nuevo León;MX;México;1
2013;G;99;Especial de Graduação;Oslo;NO;Noruega;1
2013;G;99;Especial de Graduação;Ovalle;CL;Chile;1
2013;G;99;Especial de Graduação;Pamplona;ES;Espanha;2
2013;G;99;Especial de Graduação;Paris;FR;França;6
2013;G;99;Especial de Graduação;Pasto;CO;Colômbia;1
2013;G;99;Especial de Graduação;Pereira-Risaralda;CO;Colômbia;1
2013;G;99;Especial de Graduação;Puebla;MX;México;2
2013;G;99;Especial de Graduação;Rio Cuarto;AR;Argentina;1
2013;G;99;Especial de Graduação;Roma;IT;Itália;1
2013;G;99;Especial de Graduação;S Miguel de Tucuman;AR;Argentina;1
2013;G;99;Especial de Graduação;Saint-Pierre;FR;França;1
2013;G;99;Especial de Graduação;Salta;AR;Argentina;1
2013;G;99;Especial de Graduação;Salto;UY;Uruguai;1
2013;G;99;Especial de Graduação;San Luis;AR;Argentina;1
2013;G;99;Especial de Graduação;San Rafael;AR;Argentina;1
2013;G;99;Especial de Graduação;Santa Fé;AR;Argentina;5
2013;G;99;Especial de Graduação;Santander;CO;Colômbia;1
2013;G;99;Especial de Graduação;Santarém;PT;Portugal;1
2013;G;99;Especial de Graduação;Santiago;CL;Chile;9
2013;G;99;Especial de Graduação;Simijaca;CO;Colômbia;1
2013;G;99;Especial de Graduação;Sinaloa;MX;México;1
2013;G;99;Especial de Graduação;Sonora;MX;México;1
2013;G;99;Especial de Graduação;Speyer;DA;Alemanha;1
2013;G;99;Especial de Graduação;Stavanger;NO;Noruega;1
2013;G;99;Especial de Graduação;Suwon;KR;Coréia do Sul;1
2013;G;99;Especial de Graduação;Teruel;ES;Espanha;1
2013;G;99;Especial de Graduação;Torino;IT;Itália;1
2013;G;99;Especial de Graduação;Toulouse;FR;França;1
2013;G;99;Especial de Graduação;Tunja;CO;Colômbia;1
2013;G;99;Especial de Graduação;Valladolid;ES;Espanha;1
2013;G;99;Especial de Graduação;Villeneuve d'Ascq;FR;França;1
2013;G;99;Especial de Graduação;Warszawa;PL;Polônia;1
2013;G;99;Especial de Graduação;Würzburg;DA;Alemanha;1
2013;G;99;Especial de Graduação;;;;64
2014;G;99;Especial de Graduação;Abomey-Calavi;BF;Benin;1
2014;G;99;Especial de Graduação;Accra;GH;Gana;1
2014;G;99;Especial de Graduação;Agonlin Houegbo;BF;Benin;1
2014;G;99;Especial de Graduação;Aix-en-Provence;FR;França;1
2014;G;99;Especial de Graduação;Alençon;FR;França;1
2014;G;99;Especial de Graduação;Alicante;ES;Espanha;1
2014;G;99;Especial de Graduação;Asuncion;PY;Paraguai;2
