ANO;NIVEL;COD_CURSO;NOME_CURSO;CIDADE;PAIS;NOME_PAIS;TOTAL
2012;P;99;Especial de Pós-Graduação;Oslo;NO;Noruega;1
2012;P;99;Especial de Pós-Graduação;Whittier;US;Estados Unidos da América;1
2012;P;99;Especial de Pós-Graduação;;;;1
2013;P;99;Especial de Pós-Graduação;Bogotá;CO;Colômbia;2
2013;P;99;Especial de Pós-Graduação;Bordeaux;FR;França;1
2013;P;99;Especial de Pós-Graduação;Brondby;DK;Dinamarca;1
2013;P;99;Especial de Pós-Graduação;Concepcion;CL;Chile;1
2013;P;99;Especial de Pós-Graduação;Estocolmo;SE;Suécia;1
2013;P;99;Especial de Pós-Graduação;Hong Kong;DK;Dinamarca;1
2013;P;99;Especial de Pós-Graduação;Legnago - Verona;IT;Itália;1
2013;P;99;Especial de Pós-Graduação;Munique;DA;Alemanha;1
2013;P;99;Especial de Pós-Graduação;Oslo;NO;Noruega;1
2013;P;99;Especial de Pós-Graduação;Paris;FR;França;2
2013;P;99;Especial de Pós-Graduação;Temuco;CL;Chile;1
2013;P;99;Especial de Pós-Graduação;Warszawa;PL;Polônia;1
2013;P;99;Especial de Pós-Graduação;;;;11
2014;P;99;Especial de Pós-Graduação;Brondby;DK;Dinamarca;1
2014;P;99;Especial de Pós-Graduação;Bruxelas;BE;Bélgica;1
2014;P;99;Especial de Pós-Graduação;Córdoba;ES;Espanha;1
2014;P;99;Especial de Pós-Graduação;Estocolmo;SE;Suécia;1
2014;P;99;Especial de Pós-Graduação;Funchal;PT;Portugal;1
2014;P;99;Especial de Pós-Graduação;Hamburgo;DA;Alemanha;1
2014;P;99;Especial de Pós-Graduação;Lima;PE;Peru;1
2014;P;99;Especial de Pós-Graduação;Temuco;CL;Chile;2
2014;P;99;Especial de Pós-Graduação;Toulouse;FR;França;1
2014;P;99;Especial de Pós-Graduação;Warszawa;PL;Polônia;1
2014;P;99;Especial de Pós-Graduação;;;;20
2015;P;99;Especial de Pós-Graduação;Atenas;GR;Grécia;1
2015;P;99;Especial de Pós-Graduação;Bogotá;CO;Colômbia;2
2015;P;99;Especial de Pós-Graduação;Bolonha;IT;Itália;1
2015;P;99;Especial de Pós-Graduação;Bruxelas;BE;Bélgica;1
2015;P;99;Especial de Pós-Graduação;Bucaramanga;CO;Colômbia;1
2015;P;99;Especial de Pós-Graduação;Cape Town;ZA;África do Sul;1
2015;P;99;Especial de Pós-Graduação;Cádiz;ES;Espanha;1
2015;P;99;Especial de Pós-Graduação;Chiapas;MX;México;1
2015;P;99;Especial de Pós-Graduação;Cidade do México;MX;México;1
2015;P;99;Especial de Pós-Graduação;Cúcuta;CO;Colômbia;1
2015;P;99;Especial de Pós-Graduação;Heidelberg;DA;Alemanha;1
2015;P;99;Especial de Pós-Graduação;Ibague;CO;Colômbia;1
2015;P;99;Especial de Pós-Graduação;Lima;PE;Peru;1
2015;P;99;Especial de Pós-Graduação;Lisboa;PT;Portugal;2
2015;P;99;Especial de Pós-Graduação;Lodi;IT;Itália;1
2015;P;99;Especial de Pós-Graduação;Lubango;AO;Angola;1
2015;P;99;Especial de Pós-Graduação;Madrid;ES;Espanha;1
2015;P;99;Especial de Pós-Graduação;Medellin;CO;Colômbia;1
2015;P;99;Especial de Pós-Graduação;Metz;FR;França;1
2015;P;99;Especial de Pós-Graduação;Milano;IT;Itália;1
2015;P;99;Especial de Pós-Graduação;Poitiers;FR;França;1
2015;P;99;Especial de Pós-Graduação;Roma;IT;Itália;1
2015;P;99;Especial de Pós-Graduação;San Miguel de Tucumán;AR;Argentina;1
2015;P;99;Especial de Pós-Graduação;Santiago;CL;Chile;1
2015;P;99;Especial de Pós-Graduação;Songo;AO;Angola;1
2015;P;99;Especial de Pós-Graduação;Temuco;CL;Chile;1
2015;P;99;Especial de Pós-Graduação;Uige;AO;Angola;2
2015;P;99;Especial de Pós-Graduação;;;;28
2016;P;99;Especial de Pós-Graduação;Barranquilla;CO;Colômbia;1
2016;P;99;Especial de Pós-Graduação;Beijing;CN;China;1
2016;P;99;Especial de Pós-Graduação;Bogotá;CO;Colômbia;2
2016;P;99;Especial de Pós-Graduação;Buenos Aires;AR;Argentina;2
2016;P;99;Especial de Pós-Graduação;California;US;Estados Unidos da América;1
2016;P;99;Especial de Pós-Graduação;Cádiz;ES;Espanha;1
2016;P;99;Especial de Pós-Graduação;Cidade do México;MX;México;1
2016;P;99;Especial de Pós-Graduação;Goettingen;DA;Alemanha;1
2016;P;99;Especial de Pós-Graduação;Ibague;CO;Colômbia;1
2016;P;99;Especial de Pós-Graduação;Lima;PE;Peru;1
2016;P;99;Especial de Pós-Graduação;Lubango;AO;Angola;1
2016;P;99;Especial de Pós-Graduação;Mainz;DA;Alemanha;1
2016;P;99;Especial de Pós-Graduação;Maturin;VE;Venezuela;1
2016;P;99;Especial de Pós-Graduação;Medellin;CO;Colômbia;2
2016;P;99;Especial de Pós-Graduação;Mendoza;AR;Argentina;1
2016;P;99;Especial de Pós-Graduação;Osaka;JP;Japão;2
2016;P;99;Especial de Pós-Graduação;Paris;FR;França;1
2016;P;99;Especial de Pós-Graduação;Poitiers;FR;França;1
2016;P;99;Especial de Pós-Graduação;Porto;PT;Portugal;1
2016;P;99;Especial de Pós-Graduação;Quito;EC;Equador;1
2016;P;99;Especial de Pós-Graduação;Santiago;CL;Chile;2
2016;P;99;Especial de Pós-Graduação;Teerã;IR;Irã;1
2016;P;99;Especial de Pós-Graduação;Whittier;US;Estados Unidos da América;1
2016;P;99;Especial de Pós-Graduação;Wum;CM;Camarões;1
2016;P;99;Especial de Pós-Graduação;;;;21
2017;P;99;Especial de Pós-Graduação;Bogotá;CO;Colômbia;3
2017;P;99;Especial de Pós-Graduação;Bucaramanga;CO;Colômbia;1
2017;P;99;Especial de Pós-Graduação;Cádiz;ES;Espanha;1
2017;P;99;Especial de Pós-Graduação;Cerete;CO;Colômbia;1
2017;P;99;Especial de Pós-Graduação;Medellin;CO;Colômbia;1
2017;P;99;Especial de Pós-Graduação;Mendoza;AR;Argentina;1
2017;P;99;Especial de Pós-Graduação;Poitiers;FR;França;1
2017;P;99;Especial de Pós-Graduação;Quito;EC;Equador;1
2017;P;99;Especial de Pós-Graduação;Teerã;IR;Irã;1
2017;P;99;Especial de Pós-Graduação;Tokyo;JP;Japão;1
2017;P;99;Especial de Pós-Graduação;Whittier;US;Estados Unidos da América;1
2017;P;99;Especial de Pós-Graduação;;;;6
