ANO;NIVEL;COD_CURSO;NOME_CURSO;CIDADE;PAIS;NOME_PAIS;TOTAL
1997;M;1;Matemática;Araguari;BR;Brasil;1
1997;M;1;Matemática;Barretos;BR;Brasil;1
1997;M;1;Matemática;Belo Horizonte;BR;Brasil;1
1997;M;1;Matemática;Campinas;BR;Brasil;2
1997;M;1;Matemática;Fernandópolis;BR;Brasil;1
1997;M;1;Matemática;Flórida Paulista;BR;Brasil;1
1997;M;1;Matemática;Goiânia;BR;Brasil;1
1997;M;1;Matemática;Grupiara;BR;Brasil;1
1997;M;1;Matemática;Ibaiti;BR;Brasil;1
1997;M;1;Matemática;Indaiatuba;BR;Brasil;1
1997;M;1;Matemática;Itumbiara;BR;Brasil;1
1997;M;1;Matemática;Mauá;BR;Brasil;1
1997;M;1;Matemática;Montes Claros;BR;Brasil;1
1997;M;1;Matemática;Niterói;BR;Brasil;2
1997;M;1;Matemática;Onda Verde;BR;Brasil;1
1997;M;1;Matemática;Palmas;BR;Brasil;1
1997;M;1;Matemática;Pirassununga;BR;Brasil;1
1997;M;1;Matemática;Presidente Prudente;BR;Brasil;1
1997;M;1;Matemática;Rio de Janeiro;BR;Brasil;2
1997;M;1;Matemática;Rochester;US;Estados Unidos da América;1
1997;M;1;Matemática;Santa Bárbara D'Oeste;BR;Brasil;1
1997;M;1;Matemática;Santa Helena;BR;Brasil;1
1997;M;1;Matemática;São José do Rio Preto;BR;Brasil;1
1997;M;1;Matemática;São Paulo;BR;Brasil;1
1997;M;1;Matemática;Trujillo;PE;Peru;1
1997;M;1;Matemática;Tubarão;BR;Brasil;1
1997;M;1;Matemática;Uberlândia;BR;Brasil;2
1997;M;2;Estatística;Araçatuba;BR;Brasil;1
1997;M;2;Estatística;Beira;MZ;Moçambique;1
1997;M;2;Estatística;Brasília;BR;Brasil;1
1997;M;2;Estatística;Campinas;BR;Brasil;3
1997;M;2;Estatística;Curitiba;BR;Brasil;1
1997;M;2;Estatística;Dracena;BR;Brasil;1
1997;M;2;Estatística;Goiânia;BR;Brasil;1
1997;M;2;Estatística;Iturama;BR;Brasil;1
1997;M;2;Estatística;Junin;PE;Peru;2
1997;M;2;Estatística;Lima;PE;Peru;2
1997;M;2;Estatística;Limeira;BR;Brasil;2
1997;M;2;Estatística;Mendoza;AR;Argentina;1
1997;M;2;Estatística;Mirassol;BR;Brasil;1
1997;M;2;Estatística;Pau dos Ferros;BR;Brasil;1
1997;M;2;Estatística;Poços de Caldas;BR;Brasil;1
1997;M;2;Estatística;Porto Murtinho;BR;Brasil;1
1997;M;2;Estatística;Promissão;BR;Brasil;1
1997;M;2;Estatística;Recife;BR;Brasil;2
1997;M;2;Estatística;Rio de Janeiro;BR;Brasil;2
1997;M;2;Estatística;Rolândia;BR;Brasil;1
1997;M;2;Estatística;Salvador;BR;Brasil;2
1997;M;2;Estatística;Santiago de Cuba;CU;Cuba;2
1997;M;2;Estatística;São Carlos;BR;Brasil;2
1997;M;2;Estatística;São Paulo;BR;Brasil;4
1997;M;2;Estatística;Sorocaba;BR;Brasil;1
1997;M;3;Ciência da Computação;Açu;BR;Brasil;1
1997;M;3;Ciência da Computação;Adamantina;BR;Brasil;1
1997;M;3;Ciência da Computação;Apurimac;PE;Peru;1
1997;M;3;Ciência da Computação;Avaré;BR;Brasil;1
1997;M;3;Ciência da Computação;Barretos;BR;Brasil;1
1997;M;3;Ciência da Computação;Bauru;BR;Brasil;1
1997;M;3;Ciência da Computação;Belém;BR;Brasil;3
1997;M;3;Ciência da Computação;Belo Horizonte;BR;Brasil;4
1997;M;3;Ciência da Computação;Brasília;BR;Brasil;3
1997;M;3;Ciência da Computação;Cabo de Santo Agostinho;BR;Brasil;1
1997;M;3;Ciência da Computação;Cachoeiro de Itapemirim;BR;Brasil;1
1997;M;3;Ciência da Computação;Cafelândia;BR;Brasil;1
1997;M;3;Ciência da Computação;Campina da Lagoa;BR;Brasil;1
1997;M;3;Ciência da Computação;Campina Grande;BR;Brasil;1
1997;M;3;Ciência da Computação;Campinas;BR;Brasil;2
1997;M;3;Ciência da Computação;Campo Grande;BR;Brasil;4
1997;M;3;Ciência da Computação;Capinzal;BR;Brasil;1
1997;M;3;Ciência da Computação;Carangola;BR;Brasil;1
1997;M;3;Ciência da Computação;Caratinga;BR;Brasil;1
1997;M;3;Ciência da Computação;Cataguases;BR;Brasil;2
1997;M;3;Ciência da Computação;Catalão;BR;Brasil;1
1997;M;3;Ciência da Computação;Catanduva;BR;Brasil;1
1997;M;3;Ciência da Computação;Chapecó;BR;Brasil;1
1997;M;3;Ciência da Computação;Colatina;BR;Brasil;1
1997;M;3;Ciência da Computação;Córdoba;AR;Argentina;1
1997;M;3;Ciência da Computação;Criciúma;BR;Brasil;1
1997;M;3;Ciência da Computação;Crissiumal;BR;Brasil;1
1997;M;3;Ciência da Computação;Curitiba;BR;Brasil;2
1997;M;3;Ciência da Computação;Divinópolis;BR;Brasil;1
1997;M;3;Ciência da Computação;Farroupilha;BR;Brasil;1
1997;M;3;Ciência da Computação;Floriano;BR;Brasil;1
1997;M;3;Ciência da Computação;Flórida Paulista;BR;Brasil;2
1997;M;3;Ciência da Computação;Formosa do Oeste;BR;Brasil;1
1997;M;3;Ciência da Computação;Fortaleza;BR;Brasil;7
1997;M;3;Ciência da Computação;Glória de Dourados;BR;Brasil;1
1997;M;3;Ciência da Computação;Goiânia;BR;Brasil;3
1997;M;3;Ciência da Computação;Governador Valadares;BR;Brasil;1
1997;M;3;Ciência da Computação;Guaranésia;BR;Brasil;1
1997;M;3;Ciência da Computação;Iguape;BR;Brasil;1
1997;M;3;Ciência da Computação;Ilhéus;BR;Brasil;1
1997;M;3;Ciência da Computação;Ipanema;BR;Brasil;1
1997;M;3;Ciência da Computação;Ipatinga;BR;Brasil;1
1997;M;3;Ciência da Computação;Iporá;BR;Brasil;1
1997;M;3;Ciência da Computação;Ipu;BR;Brasil;1
1997;M;3;Ciência da Computação;Itaberaí;BR;Brasil;1
1997;M;3;Ciência da Computação;Itajaí;BR;Brasil;2
1997;M;3;Ciência da Computação;Juiz de Fora;BR;Brasil;2
1997;M;3;Ciência da Computação;La Habana;CU;Cuba;1
1997;M;3;Ciência da Computação;Leopoldina;BR;Brasil;1
1997;M;3;Ciência da Computação;Linhares;BR;Brasil;1
1997;M;3;Ciência da Computação;Londrina;BR;Brasil;2
1997;M;3;Ciência da Computação;Maceió;BR;Brasil;2
1997;M;3;Ciência da Computação;Manaus;BR;Brasil;1
1997;M;3;Ciência da Computação;Manhuaçu;BR;Brasil;1
1997;M;3;Ciência da Computação;Maravilha;BR;Brasil;1
1997;M;3;Ciência da Computação;Maringá;BR;Brasil;1
1997;M;3;Ciência da Computação;Mauá;BR;Brasil;1
1997;M;3;Ciência da Computação;Muriaé;BR;Brasil;1
1997;M;3;Ciência da Computação;Natal;BR;Brasil;2
1997;M;3;Ciência da Computação;Nilópolis;BR;Brasil;1
1997;M;3;Ciência da Computação;Niterói;BR;Brasil;2
1997;M;3;Ciência da Computação;Nova Esperança;BR;Brasil;1
1997;M;3;Ciência da Computação;Ouricuri;BR;Brasil;1
1997;M;3;Ciência da Computação;Palmas;BR;Brasil;1
1997;M;3;Ciência da Computação;Parnaíba;BR;Brasil;1
1997;M;3;Ciência da Computação;Passa Quatro;BR;Brasil;2
1997;M;3;Ciência da Computação;Patos de Minas;BR;Brasil;1
1997;M;3;Ciência da Computação;Patrocínio;BR;Brasil;1
1997;M;3;Ciência da Computação;Pérola;BR;Brasil;1
1997;M;3;Ciência da Computação;Ponta Grossa;BR;Brasil;1
1997;M;3;Ciência da Computação;Pontalina;BR;Brasil;1
1997;M;3;Ciência da Computação;Ribeirão Preto;BR;Brasil;1
1997;M;3;Ciência da Computação;Rio de Janeiro;BR;Brasil;4
1997;M;3;Ciência da Computação;Rio do Sul;BR;Brasil;1
1997;M;3;Ciência da Computação;Rondon;BR;Brasil;1
1997;M;3;Ciência da Computação;Santa Fé;AR;Argentina;1
1997;M;3;Ciência da Computação;Santos;BR;Brasil;2
1997;M;3;Ciência da Computação;São José do Rio Preto;BR;Brasil;1
1997;M;3;Ciência da Computação;São José dos Campos;BR;Brasil;1
1997;M;3;Ciência da Computação;São Luís;BR;Brasil;1
1997;M;3;Ciência da Computação;São Mateus;BR;Brasil;1
1997;M;3;Ciência da Computação;São Paulo;BR;Brasil;4
1997;M;3;Ciência da Computação;Tambaú;BR;Brasil;1
1997;M;3;Ciência da Computação;Tarauacá;BR;Brasil;1
1997;M;3;Ciência da Computação;Tatuí;BR;Brasil;2
