name,lon,lat,dist
Alta Floresta D'Oeste,-61.9998238963,-11.9355403048,#NAME?
Ariquemes,-63.033269278,-9.9084628666,#NAME?
Cabixi,-60.5443135812,-13.4997634597,#NAME?
Cacoal,-61.4429442118,-11.4338650287,#NAME?
Cerejeiras,-60.8184261647,-13.195033032,#NAME?
Colorado do Oeste,-60.5550674631,-13.1305638415,#NAME?
Corumbiara,-60.9487011707,-12.9975202365,#NAME?
Costa Marques,-64.2316539391,-12.4360138777,#NAME?
Espigão D'Oeste,-61.0201731133,-11.5285546333,#NAME?
Guajará-Mirim,-65.3239518197,-10.7738837407,#NAME?
Jaru,-62.4762307081,-10.4359487679,#NAME?
Ji-Paraná,-61.9450945827,-10.8820513183,#NAME?
Machadinho D'Oeste,-61.9995925724,-9.42556248,#NAME?
Nova Brasilândia D'Oeste,-62.308230163,-11.7213254139,#NAME?
Ouro Preto do Oeste,-62.2610551904,-10.7235739008,#NAME?
Pimenta Bueno,-61.1836656736,-11.67753699,#NAME?
Porto Velho,-63.8314456544,-8.76889179,#NAME?
Presidente Médici,-61.9094386835,-11.1732050162,#NAME?
Rio Crespo,-62.900010366,-9.7055367097,#NAME?
Rolim de Moura,-61.7857809352,-11.7222589134,#NAME?
Santa Luzia D'Oeste,-61.7733054631,-11.9084233325,#NAME?
Vilhena,-60.1385838661,-12.7413734718,#NAME?
São Miguel do Guaporé,-62.7200634814,-11.6994897438,#NAME?
Nova Mamoré,-65.3291490231,-10.4117712947,#NAME?
Alvorada D'Oeste,-62.2772748657,-11.3441300234,#NAME?
Alto Alegre dos Parecis,-61.8530771686,-12.1317772246,#NAME?
Alto Paraíso,-63.3176294335,-9.7166667381,#NAME?
Buritis,-63.8296787918,-10.2098054072,#NAME?
Novo Horizonte do Oeste,-61.9943876628,-11.70974292,#NAME?
Cacaulândia,-62.9031899346,-10.3388728394,#NAME?
Campo Novo de Rondônia,-63.6249914265,-10.5684164693,#NAME?
Candeias do Jamari,-63.7000200718,-8.7850207035,#NAME?
Castanheiras,-61.9491611965,-11.4268422255,#NAME?
Chupinguaia,-60.90184775,-12.5568407611,#NAME?
Cujubim,-62.5871745319,-9.3781933991,#NAME?
Governador Jorge Teixeira,-62.7404576395,-10.6120717726,#NAME?
Itapuã do Oeste,-63.1823370165,-9.1918716753,#NAME?
Ministro Andreazza,-61.5189219301,-11.1962379842,#NAME?
Mirante da Serra,-62.6694270953,-11.0456092899,#NAME?
Monte Negro,-63.2955591672,-10.2630977559,#NAME?
Nova União,-62.5550893989,-10.9155320417,#NAME?
Parecis,-61.5979979727,-12.1798270507,#NAME?
Pimenteiras do Oeste,-61.0443790025,-13.4765620025,#NAME?
Primavera de Rondônia,-61.3165462429,-11.8257069542,#NAME?
São Felipe D'Oeste,-61.5125081133,-11.9143893547,#NAME?
São Francisco do Guaporé,-63.5708647108,-12.0637984122,#NAME?
Seringueiras,-63.0387609977,-11.7671166356,#NAME?
Teixeirópolis,-62.255922254,-10.932169286,#NAME?
Theobroma,-62.3451455299,-10.248730552,#NAME?
Urupá,-62.3706324538,-11.1285452757,#NAME?
Vale do Anari,-62.1768234421,-9.8513927081,#NAME?
Vale do Paraíso,-62.1343903568,-10.4310526846,#NAME?
Acrelândia,-67.05231658,-10.0737938925,#NAME?
Assis Brasil,-69.5634591747,-10.9428656809,#NAME?
Brasiléia,-68.747943426,-11.0164110191,#NAME?
Bujari,-67.9518592792,-9.8200196267,#NAME?
Capixaba,-67.6735079719,-10.5697677088,#NAME?
Cruzeiro do Sul,-72.6725313174,-7.630690005,#NAME?
Epitaciolândia,-68.7448680667,-11.028239828,#NAME?
Feijó,-70.3539836082,-8.16024753,#NAME?
Jordão,-71.9508751248,-9.1933578598,#NAME?
Mâncio Lima,-72.9165010261,-7.5932225939,#NAME?
Manoel Urbano,-69.2599445775,-8.8363177369,#NAME?
Marechal Thaumaturgo,-72.7902659087,-8.9535911232,#NAME?
Plácido de Castro,-67.1882600862,-10.3351332827,#NAME?
Porto Walter,-72.7423339648,-8.2666663628,#NAME?
Rio Branco,-67.8105287004,-9.9782987527,#NAME?
Rodrigues Alves,-72.6478549142,-7.7336020337,#NAME?
Santa Rosa do Purus,-70.4864968938,-9.4434065374,#NAME?
Senador Guiomard,-67.74317236,-10.1481735862,#NAME?
Sena Madureira,-68.6556840617,-9.065339505,#NAME?
Tarauacá,-70.7555010629,-8.1556685918,#NAME?
Xapuri,-68.506294805,-10.6520719403,#NAME?
Porto Acre,-67.5405900835,-9.6008582312,#NAME?
Alvarães,-64.8135346776,-3.2165837691,#NAME?
Amaturá,-68.2096146409,-3.3668051875,#NAME?
Anamã,-61.4059034798,-3.5763704269,#NAME?
Anori,-61.6589553829,-3.7453855861,#NAME?
Apuí,-59.8856661047,-7.1978701516,#NAME?
Atalaia do Norte,-70.1879892845,-4.3661574897,#NAME?
Autazes,-59.1335670918,-3.5786636418,#NAME?
Barcelos,-62.9256696581,-0.9728010525,#NAME?
Barreirinha,-57.0677504899,-2.7981498369,#NAME?
Benjamin Constant,-70.0273484333,-4.3749890186,#NAME?
Beruri,-61.3715708917,-3.8945134098,#NAME?
Boa Vista do Ramos,-57.5877073465,-2.9717265316,#NAME?
Boca do Acre,-67.3995777567,-8.7512431961,#NAME?
Borba,-59.5945590195,-4.3906198915,#NAME?
Caapiranga,-61.2113341332,-3.3300933919,#NAME?
Canutama,-64.3942308189,-6.5291060758,#NAME?
Carauari,-66.8966352817,-4.8816659042,#NAME?
Careiro,-60.3638098437,-3.82244727,#NAME?
Careiro da Várzea,-59.8263140608,-3.1973965949,#NAME?
Coari,-63.1421839841,-4.0842191588,#NAME?
Codajás,-62.0634296605,-3.8430459327,#NAME?
Eirunepé,-69.8662902624,-6.6673525669,#NAME?
Envira,-70.030412543,-7.439817544,#NAME?
Fonte Boa,-66.0965029898,-2.5122706845,#NAME?
Guajará,-72.5824305383,-7.5477744148,#NAME?
Humaitá,-63.0266980219,-7.5122249506,#NAME?
Ipixuna,-71.6944180603,-7.0509801144,#NAME?
Iranduba,-60.1933881661,-3.2810538776,#NAME?
Itacoatiara,-58.4401754368,-3.1403788039,#NAME?
Itamarati,-68.247917436,-6.4377993486,#NAME?
Itapiranga,-58.034545884,-2.7418427523,#NAME?
Japurá,-66.9969034946,-1.8808448587,#NAME?
Juruá,-66.0630419255,-3.4748895989,#NAME?
Jutaí,-66.7713275467,-2.7446464469,#NAME?
Lábrea,-64.7947730275,-7.2619465533,#NAME?
Manacapuru,-60.6205894459,-3.2982780355,#NAME?
Manaquiri,-60.4588813064,-3.4290796694,#NAME?
Manaus,-60.0233351811,-3.1346914912,#NAME?
Manicoré,-61.2992484089,-5.8132052612,#NAME?
Maraã,-65.5742837032,-1.8664368773,#NAME?
Maués,-57.7150343868,-3.3864279262,#NAME?
Nhamundá,-56.7167699133,-2.1889837669,#NAME?
Nova Olinda do Norte,-59.093074026,-3.8875928319,#NAME?
Novo Airão,-60.9488107078,-2.623432459,#NAME?
Novo Aripuanã,-60.377045669,-5.1226693142,#NAME?
Parintins,-56.7362921452,-2.6270525858,#NAME?
Pauini,-67.0020974885,-7.7140436443,#NAME?
Presidente Figueiredo,-60.0256468345,-2.0584290852,#NAME?
Rio Preto da Eva,-59.7047380942,-2.6933015416,#NAME?
Santa Isabel do Rio Negro,-65.0200226395,-0.4166948319,#NAME?
Santo Antônio do Içá,-67.9464851439,-3.1074863092,#NAME?
São Gabriel da Cachoeira,-67.0836428963,-0.1364627881,#NAME?
São Paulo de Olivença,-68.9448534881,-3.4665096235,#NAME?
São Sebastião do Uatumã,-57.8703463558,-2.5701525797,#NAME?
Silves,-58.2148008608,-2.8364274297,#NAME?
Tabatinga,-69.9462443752,-4.2318836756,#NAME?
Tapauá,-63.1870948672,-5.6242235178,#NAME?
Tefé,-64.7084196633,-3.3483724939,#NAME?
Tonantins,-67.7764822807,-2.8610912498,#NAME?
Uarini,-65.1553456402,-2.9836092427,#NAME?
Urucará,-57.7598281746,-2.5366116718,#NAME?
Urucurituba,-58.1596410413,-3.1346331156,#NAME?
Amajari,-61.4205901727,3.6521184454,#NAME?
Alto Alegre,-61.3140223901,2.9938229477,#NAME?
