ANO;NIVEL;COD_CURSO;NOME_CURSO;CIDADE;PAIS;NOME_PAIS;TOTAL;
1997;D;5;Tecnologia de Alimentos;Altair;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Americana;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Amélia Rodrigues;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Araraquara;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Araras;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Barretos;BR;Brasil;2;
1997;D;5;Tecnologia de Alimentos;Bauru;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Belém;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Belo Horizonte;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Birigüi;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Botucatu;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Brodowski;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Campinas;BR;Brasil;5;
1997;D;5;Tecnologia de Alimentos;Canguçu;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Casa Branca;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Cruzeiro;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Facatativá;CO;Colômbia;1;
1997;D;5;Tecnologia de Alimentos;Fortaleza;BR;Brasil;2;
1997;D;5;Tecnologia de Alimentos;Goiás;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Huánuco;PE;Peru;1;
1997;D;5;Tecnologia de Alimentos;Indaiatuba;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Ipiaú;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Itapira;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Jacarezinho;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Juiz de Fora;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Leon;NI;Nicarágua;1;
1997;D;5;Tecnologia de Alimentos;Lokossa;BF;Benin;1;
1997;D;5;Tecnologia de Alimentos;Londrina;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Lorena;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Maceió;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Manaus;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Mandaguari;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Maputo;MZ;Moçambique;1;
1997;D;5;Tecnologia de Alimentos;Mogi das Cruzes;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Niterói;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Nova Friburgo;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Pedro Afonso;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Perpignan;FR;França;1;
1997;D;5;Tecnologia de Alimentos;Piracicaba;BR;Brasil;4;
1997;D;5;Tecnologia de Alimentos;Piura;PE;Peru;1;
1997;D;5;Tecnologia de Alimentos;Porto Alegre;BR;Brasil;2;
1997;D;5;Tecnologia de Alimentos;Ribeirão Preto;BR;Brasil;2;
1997;D;5;Tecnologia de Alimentos;Rio Claro;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Rio de Janeiro;BR;Brasil;5;
1997;D;5;Tecnologia de Alimentos;Rio do Sul;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Rondon;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Rosário do Sul;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Santa Clara;CU;Cuba;1;
1997;D;5;Tecnologia de Alimentos;Santa Fé;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;Santa Maria;BR;Brasil;2;
1997;D;5;Tecnologia de Alimentos;São Jerônimo;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;São João da Boa Vista;BR;Brasil;2;
1997;D;5;Tecnologia de Alimentos;São José do Rio Preto;BR;Brasil;3;
1997;D;5;Tecnologia de Alimentos;São José dos Campos;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;São Luís;BR;Brasil;1;
1997;D;5;Tecnologia de Alimentos;São Paulo;BR;Brasil;3;
