,Matemática,Estatística,Ciência da Computação,Física,Química,Ciências Biológicas,Licenciatura em Letras - Português,Engenharia Agrícola,Engenharia Química,Engenharia Mecânica,Engenharia Elétrica,Engenharia Civil,Engenharia de Alimentos,Odontologia,Medicina,Ciências Sociais,Ciências Econômicas,Linguística,História,Pedagogia,Enfermagem,Música,Dança,Artes Visuais,Artes Cênicas,Educação Física,Matemática Aplicada e Computacional,Licenciatura em Matemática,Filosofia,Engenharia de Computação,Licenciatura em Física,Licenciatura em Ciências Biológicas,Matemática/Física/Matemática Aplicada e Computacional,Curso Superior de Tecnologia Sanitária,Curso Superior de Tecnologia da Construção Civil - Edifícios,Curso Superior de Tecnologia da Construção Civil - Obras de Solos,Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas,Curso Superior de Tecnologia da Construção Civil,Engenharia de Controle e Automação,Química Tecnológica,Ciências da Terra,Geologia,Geografia,Arquitetura e Urbanismo,Licenciatura Integrada Química/Física,Fonoaudiologia,Curso Superior de Tecnologia em Saneamento Ambiental,Curso de Música Composição e Regência,Curso de Música Popular,Farmácia,Comunicação Social - Midialogia,Curso Superior de Tecnologia em Sistemas de Telecomunicações,Estudos Literários,Ciências do Esporte,Engenharia de Manufatura,Engenharia de Produção,Gestão do Agronegócio,Gestão de Comércio Internacional,Gestão de Empresas,Gestão de Políticas Públicas,Nutrição,Curso Superior de Tecnologia em Construção de Edifícios,Curso Superior de Tecnologia em Estradas,Superior de Tecnologia Ambiental,Superior Tecnologia em Saneamento Ambiental,Programa de Formação Interdisciplinar Superior - ProFIS,Engenharia Física,Engenharia de Telecomunicações,Engenharia Ambiental,Sistemas de Informação,Administração,Administração Pública
1998,82.0,182.0,118.0,132.0,312.0,119.0,163.0,174.0,373.0,312.0,428.0,312.0,465.0,266.0,448.0,328.0,285.0,43.0,122.0,385.0,122.0,181.0,85.0,96.0,70.0,427.0,95.0,97.0,96.0,319.0,124.0,153.0,27.0,40.0,37.0,27.0,119.0,37.0,29.0,27.0,3.0,11.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,87.0,191.0,141.0,127.0,329.0,116.0,183.0,175.0,374.0,296.0,442.0,301.0,467.0,276.0,466.0,361.0,323.0,62.0,135.0,356.0,131.0,207.0,83.0,96.0,78.0,456.0,97.0,111.0,104.0,313.0,128.0,163.0,35.0,96.0,18.0,12.0,116.0,109.0,56.0,56.0,2.0,25.0,66.0,28.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,92.0,220.0,151.0,144.0,337.0,124.0,199.0,186.0,389.0,295.0,461.0,303.0,486.0,282.0,485.0,392.0,341.0,79.0,135.0,366.0,134.0,224.0,86.0,102.0,82.0,487.0,104.0,134.0,102.0,325.0,127.0,172.0,38.0,154.0,6.0,3.0,143.0,163.0,78.0,84.0,4.0,33.0,108.0,54.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,110.0,236.0,163.0,172.0,331.0,128.0,212.0,206.0,394.0,283.0,453.0,306.0,493.0,284.0,503.0,408.0,373.0,99.0,146.0,401.0,135.0,234.0,91.0,118.0,75.0,494.0,107.0,154.0,105.0,328.0,124.0,190.0,27.0,213.0,0.0,1.0,160.0,191.0,99.0,114.0,3.0,51.0,140.0,80.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,121.0,257.0,182.0,198.0,347.0,148.0,227.0,232.0,422.0,269.0,468.0,316.0,494.0,291.0,509.0,442.0,412.0,121.0,152.0,800.0,130.0,242.0,94.0,123.0,78.0,513.0,112.0,180.0,111.0,336.0,134.0,203.0,26.0,198.0,0.0,0.0,232.0,238.0,131.0,141.0,7.0,65.0,180.0,109.0,99.0,27.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,129.0,286.0,189.0,236.0,365.0,157.0,269.0,254.0,439.0,335.0,467.0,331.0,497.0,278.0,533.0,474.0,443.0,117.0,156.0,1147.0,140.0,256.0,97.0,126.0,87.0,534.0,120.0,191.0,120.0,350.0,144.0,207.0,24.0,174.0,0.0,0.0,269.0,259.0,158.0,171.0,4.0,75.0,212.0,128.0,115.0,51.0,177.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,130.0,294.0,188.0,254.0,350.0,164.0,283.0,292.0,456.0,414.0,461.0,356.0,518.0,281.0,538.0,499.0,454.0,115.0,174.0,1525.0,141.0,267.0,97.0,132.0,88.0,570.0,123.0,206.0,132.0,347.0,147.0,204.0,33.0,141.0,0.0,0.0,298.0,287.0,179.0,189.0,0.0,87.0,239.0,154.0,127.0,72.0,281.0,1.0,2.0,39.0,27.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,124.0,317.0,196.0,293.0,362.0,182.0,312.0,306.0,477.0,494.0,461.0,367.0,529.0,278.0,543.0,535.0,452.0,103.0,186.0,1791.0,142.0,264.0,97.0,139.0,86.0,577.0,116.0,221.0,137.0,353.0,144.0,211.0,26.0,89.0,0.0,0.0,332.0,301.0,179.0,192.0,4.0,103.0,275.0,167.0,145.0,94.0,373.0,1.0,3.0,75.0,48.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,116.0,304.0,201.0,301.0,360.0,173.0,284.0,318.0,464.0,557.0,465.0,392.0,530.0,276.0,531.0,557.0,480.0,94.0,180.0,1370.0,148.0,286.0,95.0,139.0,90.0,551.0,111.0,228.0,135.0,355.0,131.0,222.0,37.0,45.0,0.0,0.0,333.0,305.0,183.0,207.0,4.0,111.0,272.0,170.0,164.0,95.0,453.0,0.0,0.0,113.0,74.0,125.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,105.0,284.0,207.0,305.0,345.0,176.0,276.0,317.0,454.0,607.0,456.0,394.0,567.0,286.0,518.0,575.0,482.0,98.0,181.0,1017.0,148.0,278.0,91.0,139.0,93.0,533.0,127.0,227.0,137.0,340.0,128.0,215.0,55.0,15.0,0.0,0.0,341.0,299.0,189.0,209.0,3.0,114.0,247.0,178.0,160.0,101.0,485.0,0.0,0.0,146.0,98.0,150.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
