,Matemática,Estatística,Ciência da Computação,Física,Química,Ciências Biológicas,Licenciatura em Letras - Português,Engenharia Agrícola,Engenharia Química,Engenharia Mecânica,Engenharia Elétrica,Engenharia Civil,Engenharia de Alimentos,Odontologia,Medicina,Ciências Sociais,Ciências Econômicas,Linguística,História,Pedagogia,Enfermagem,Música,Dança,Artes Visuais,Artes Cênicas,Educação Física,Matemática Aplicada e Computacional,Licenciatura em Matemática,Filosofia,Engenharia de Computação,Licenciatura em Física,Licenciatura em Ciências Biológicas,Matemática/Física/Matemática Aplicada e Computacional,Curso Superior de Tecnologia Sanitária,Curso Superior de Tecnologia da Construção Civil - Edifícios,Curso Superior de Tecnologia da Construção Civil - Obras de Solos,Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas,Curso Superior de Tecnologia da Construção Civil,Engenharia de Controle e Automação,Química Tecnológica,Ciências da Terra,Geologia,Geografia,Arquitetura e Urbanismo,Licenciatura Integrada Química/Física,Fonoaudiologia,Curso Superior de Tecnologia em Saneamento Ambiental,Curso de Música Composição e Regência,Curso de Música Popular,Farmácia,Comunicação Social - Midialogia,Curso Superior de Tecnologia em Sistemas de Telecomunicações,Estudos Literários,Ciências do Esporte,Engenharia de Manufatura,Engenharia de Produção,Gestão do Agronegócio,Gestão de Comércio Internacional,Gestão de Empresas,Gestão de Políticas Públicas,Nutrição,Curso Superior de Tecnologia em Construção de Edifícios,Curso Superior de Tecnologia em Estradas,Superior de Tecnologia Ambiental,Superior Tecnologia em Saneamento Ambiental,Programa de Formação Interdisciplinar Superior - ProFIS,Engenharia Física,Engenharia de Telecomunicações,Engenharia Ambiental,Sistemas de Informação,Administração,Administração Pública
1998,39.0,50.0,62.0,81.0,50.0,61.0,42.0,28.0,100.0,77.0,145.0,75.0,91.0,48.0,115.0,85.0,64.0,19.0,34.0,44.0,14.0,53.0,20.0,22.0,18.0,63.0,42.0,17.0,33.0,179.0,29.0,36.0,15.0,9.0,8.0,3.0,22.0,4.0,10.0,4.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,45.0,48.0,60.0,86.0,53.0,59.0,48.0,27.0,98.0,74.0,137.0,84.0,100.0,42.0,127.0,88.0,69.0,19.0,38.0,47.0,14.0,60.0,22.0,24.0,21.0,62.0,44.0,20.0,33.0,180.0,36.0,31.0,15.0,15.0,5.0,3.0,18.0,11.0,24.0,7.0,1.0,4.0,18.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,46.0,42.0,52.0,84.0,54.0,51.0,46.0,32.0,85.0,78.0,134.0,74.0,102.0,37.0,126.0,93.0,78.0,24.0,44.0,54.0,19.0,61.0,25.0,29.0,21.0,70.0,34.0,30.0,35.0,179.0,36.0,31.0,15.0,25.0,2.0,1.0,23.0,21.0,43.0,9.0,0.0,8.0,24.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,47.0,40.0,44.0,85.0,61.0,49.0,49.0,34.0,88.0,75.0,135.0,85.0,101.0,40.0,129.0,95.0,77.0,23.0,38.0,59.0,17.0,61.0,26.0,24.0,24.0,74.0,38.0,36.0,32.0,175.0,35.0,29.0,14.0,23.0,0.0,0.0,23.0,26.0,58.0,10.0,0.0,10.0,25.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,44.0,36.0,38.0,87.0,59.0,43.0,52.0,35.0,95.0,67.0,144.0,71.0,108.0,41.0,143.0,103.0,88.0,20.0,38.0,114.0,24.0,60.0,25.0,18.0,23.0,85.0,40.0,33.0,42.0,172.0,35.0,28.0,14.0,21.0,0.0,0.0,31.0,34.0,77.0,12.0,0.0,11.0,31.0,10.0,22.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,46.0,40.0,33.0,93.0,57.0,42.0,50.0,37.0,101.0,83.0,141.0,69.0,98.0,43.0,141.0,101.0,92.0,22.0,39.0,191.0,26.0,62.0,24.0,18.0,24.0,84.0,39.0,39.0,43.0,184.0,43.0,21.0,14.0,17.0,0.0,0.0,45.0,41.0,95.0,12.0,0.0,15.0,33.0,14.0,29.0,9.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,42.0,39.0,35.0,92.0,63.0,43.0,46.0,43.0,98.0,95.0,135.0,69.0,96.0,48.0,133.0,93.0,91.0,27.0,29.0,248.0,30.0,67.0,26.0,15.0,24.0,81.0,38.0,33.0,40.0,178.0,43.0,22.0,7.0,11.0,0.0,0.0,51.0,45.0,106.0,14.0,0.0,15.0,39.0,16.0,30.0,15.0,33.0,0.0,1.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,44.0,43.0,33.0,106.0,49.0,42.0,44.0,41.0,104.0,110.0,142.0,73.0,88.0,51.0,131.0,91.0,77.0,25.0,25.0,324.0,25.0,70.0,24.0,16.0,23.0,77.0,38.0,35.0,40.0,168.0,42.0,19.0,5.0,9.0,0.0,0.0,56.0,43.0,106.0,11.0,1.0,13.0,37.0,16.0,28.0,19.0,46.0,0.0,1.0,5.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,41.0,41.0,36.0,119.0,55.0,49.0,50.0,41.0,109.0,123.0,146.0,70.0,98.0,51.0,129.0,88.0,77.0,27.0,25.0,263.0,20.0,82.0,30.0,16.0,20.0,78.0,37.0,38.0,40.0,163.0,40.0,21.0,8.0,3.0,0.0,0.0,64.0,47.0,113.0,9.0,0.0,11.0,33.0,15.0,32.0,19.0,53.0,0.0,0.0,7.0,13.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,41.0,34.0,39.0,117.0,54.0,41.0,48.0,42.0,124.0,144.0,147.0,62.0,98.0,57.0,138.0,86.0,78.0,24.0,18.0,187.0,18.0,80.0,30.0,14.0,12.0,79.0,43.0,37.0,32.0,173.0,31.0,27.0,10.0,0.0,0.0,0.0,50.0,43.0,114.0,9.0,0.0,17.0,30.0,17.0,29.0,12.0,57.0,0.0,0.0,12.0,19.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
